account_manager,bl_number,job_order_date,customer_name,consignee_name,shipment_type,scope_of_work,service_type,cargo_type,carrier,vessel_code,container_count,commodity,shipment_date,terminal,shipment_location,overseas_port,gcss_updatedate,kewill_jobno,kewill_invoiceno,cro_date
NULL,210267132,2021-06-01,"PHILIPS SOLUTIONS SAUDI ARABIA TRADING","PHILIPS SOLUTIONS SAUDI ARABIA TRADING",IMPORT,IH+CCD,SD,DRY,MSL,"MERKUR ARCHIPELAGO/107W",10,Electronics,2021-05-06,SADMM,DAMMAM,"JABEL ALI",0000-00-00,,,0000-00-00
NULL,210274622,2021-06-12,"TETRA PAK MANUFACTURING LTD","TETRA PAK MANUFACTURING LTD",EXPORT,IH+CCO,SD,DRY,MSL,"MERKUR KYRENIA / 115W",4,PAPER,2021-05-03,SAJED,JEDDAH,LYBEG,2021-04-25,,,2021-04-14
NULL,210275570,2021-06-25,"GAP POLYMERS","GAP POLYMERS",EXPORT,IH,SD,DRY,MSL,"TSS PEARL/2104",24,PLASTIC,2021-06-29,SAJED,JEDDAH,YEADE,2021-05-25,,,2021-05-01
NULL,210275676,2021-06-12,"BINZAGR CO-RO (LTD)","BINZAGR CO-RO (LTD)",EXPORT,IH+CCO,SD,DRY,MSL,"MAERSK GENOA / 116E",20,JUICE,2021-05-03,SAJED,JEDDAH,OMSLV,2021-05-01,,,2021-04-21
NULL,210277920,2021-06-12,"SAUDI GERMAN CO FOR NON WOVEN PROD","INDEVCO FOR INDUSTRIAL DEVELOPMENT",EXPORT,IH+CCO,SD,DRY,MSL,"MAERSK KIMI / 116W",3,PAPER,2021-05-21,SAJED,DAMMAM,LBBUU,2021-05-05,,,2021-04-21
NULL,210279609,2021-06-12,"SAUDI GERMAN CO FOR NON WOVEN PROD","INDEVCO FOR INDUSTRIAL DEVELOPMENT",EXPORT,IH+CCO,SD,DRY,MSL,"MAERSK KIMI / 116W",4,PAPER,2021-05-10,SAJED,DAMMAM,LBBUU,2021-05-05,,,2021-04-21
NULL,210279681,2021-06-12,"SAUDI GERMAN CO FOR NON WOVEN PROD","INDEVCO FOR INDUSTRIAL DEVELOPMENT",EXPORT,IH+CCO,SD,DRY,MSL,"MAERSK KIMI / 116W",1,PAPER,2021-05-10,SAJED,RABIGH,LBBUU,2021-05-05,,,2021-04-22
NULL,210290991,2021-06-12,"TETRA PAK MANUFACTURING LTD","TETRA PAK MANUFACTURING LTD",EXPORT,IH+CCO,SD,DRY,MSL,"CAP SAN LAZARO / 117E",1,"PAPER, PAPERBOARD, PACKING MATERIAL",2021-05-10,SAJED,JEDDAH,,2021-04-29,,,2021-04-21
NULL,210306464,2021-06-08,,"ORBIT ALUMINUM INDUSTRIES",EXPORT,IH,SD,DRY,MSL,,6,,2021-05-04,JOAHZTM,AMMAN,jeddah,0000-00-00,,,2021-04-27
NULL,210329918,2021-06-10,"TETRA PAK MANUFACTURING LTD","TETRA PAK MANUFACTURING LTD",EXPORT,IH+CCO,SD,DRY,MSL,"CAP SAN SOUNIO/118E",1,PAPER,2021-05-10,SAJED,JEDDAH,KEMBA,2021-05-09,,,0000-00-00
NULL,210340677,2021-06-14,,"SIG COMBIBLOC OBEIKAN CO LTD",EXPORT,IH+CCO,SD,DRY,MSL,,3,,2021-05-18,"KING ABDULLAH ECONOMIC CITY PORT",RIAYDH,Tunisia,2021-05-18,,,2021-04-26
NULL,210346257,2021-06-08,"SHIPRO LOGISTICS SULOTION","SHIPRO LOGISTICS SULOTION",EXPORT,IH,SD,DRY,MSL,,10,,2021-05-06,JOAHZTM,AMMAN,jeddah,0000-00-00,,,2021-04-26
NULL,210354935,2021-06-12,"TAMKEEN INTERNATIONAL CO","TAMKEEN INTERNATIONAL CO",IMPORT,IH+CCD,SD,DRY,MSL,,17,FREEZER,2021-05-25,SAJED,JEDDAH,CNNPO,2021-05-25,,,0000-00-00
NULL,210369062,2021-06-24,"MADAR TRADING","MADAR TRADING",IMPORT,IH,SD,DRY,"Hapag Lloy",,3,TIMBER,2021-06-13,SAJED,JEDDAH,RUSSI,2021-06-17,,,0000-00-00
NULL,210378834,2021-06-07,"NABA AL ORDON FOR SEA FREIGHT","NABA AL ORDON FOR SEA FREIGHT",EXPORT,IH,SD,DRY,MSL,,7,,2021-05-06,AQABA,AMMAN,ADANI,2021-04-26,,,2021-04-26
NULL,210385556,2021-06-10,"TETRA PAK MANUFACTURING LTD","TETRA PAK MANUFACTURING LTD",EXPORT,IH+CCO,SD,DRY,MSL,ORCA/116E,1,PAPER,2021-05-05,SAJED,JEDDAH,CNSGH,2021-04-29,,,0000-00-00
NULL,210387880,2021-06-13,"OBEIKAN GLASS COMPANY","OBEIKAN GLASS COMPANY",EXPORT,IH+CCO,SD,DRY,MSL,,1,Glass,2021-05-01,SAJED,JEDDAH,USA,0000-00-00,,,2021-04-19
NULL,210388078,2021-06-13,,"SAPIN SAUDI ARABIAN PACKAGING",EXPORT,IH+CCO,SD,DRY,MSL,"GFS PRIDE",18,"Iron, steel, iron and steel articles, metal",2021-05-07,"JEDDAH RED SEA GATEWAY TERMINAL",DAMMAM,Egypt,2021-05-05,,,2021-04-25
NULL,210388142,2021-05-31,"TAMER ARABIA TRADING CO","TAMER ARABIA TRADING CO",IMPORT,IH+CCD,SD,DRY,MSL,,2,Electronics,2021-05-06,SADMM,DAMMAM,"JABEL ALI",2021-05-27,,,0000-00-00
NULL,210388204,2021-05-31,"PHILIPS SOLUTIONS SAUDI ARABIA TRADING","PHILIPS SOLUTIONS SAUDI ARABIA TRADING",IMPORT,IH+CCD,SD,DRY,MSL,,1,Electronics,2021-05-13,SADMM,JEDDAH,"JABEL ALI",2021-05-26,,,0000-00-00
NULL,210388238,2021-06-01,"PHILIPS SOLUTIONS SAUDI ARABIA TRADING","PHILIPS SOLUTIONS SAUDI ARABIA TRADING",IMPORT,IH+CCD,SD,DRY,MSL,,1,Electronics,2021-05-13,SADMM,RIYADH,"JABEL ALI",0000-00-00,,,0000-00-00
NULL,210388907,2021-06-09,"GULF ALUMINIUM ROLLING MILL","GULF ALUMINIUM ROLLING MILL",EXPORT,CCO,SD,REEF,MSL,"X-PRESS KANGCHENJUNGA / 0070",5,,2021-05-12,BAHRAIN,BAHRAIN,"UNITED STATES",0000-00-00,,,2021-05-01
